ID,BOOKS,DOLLARS,DATE
1,1,11.77,1/1/2017
2,1,12,1/12/2017
2,5,77,1/12/2017
3,2,20.76,1/2/2017
3,2,20.76,3/30/2017
3,2,19.54,4/2/2017
3,5,57.45,11/15/2017
3,4,20.96,11/25/2017
3,1,16.99,5/28/2018
4,2,29.33,1/1/2017
4,2,29.73,1/18/2017
4,1,14.96,8/2/2017
4,2,26.48,12/12/2017
5,2,29.33,1/1/2017
5,1,13.97,1/14/2017
5,3,38.9,2/4/2017
5,3,45.55,4/11/2017
5,3,38.71,5/31/2017
5,2,26.14,6/16/2017
5,2,28.14,7/22/2017
5,3,40.47,9/15/2017
5,4,46.46,12/8/2017
5,3,40.47,12/12/2017
5,3,37.47,1/3/2018
6,1,20.99,1/1/2017
7,2,28.74,1/1/2017
7,7,97.43,10/11/2017
7,9,138.5,3/22/2018
8,1,9.77,1/1/2017
8,1,13.97,2/13/2017
8,3,45.29,6/17/2017
8,2,36.76,7/3/2017
8,1,2.99,11/16/2017
8,7,50.43,11/16/2017
8,1,13.99,12/25/2017
8,2,24.46,3/29/2018
9,2,23.54,1/1/2017
9,2,30.33,5/13/2017
9,2,41.98,6/8/2018
10,3,39.31,1/21/2017
11,1,13.49,1/1/2017
11,1,19.3,1/28/2017
11,1,12.77,3/17/2017
11,1,12.99,2/20/2018
12,4,57.06,1/1/2017
13,4,72.94,1/1/2017
14,2,29.92,1/1/2017
15,4,52.87,1/1/2017
16,1,9.77,1/1/2017
16,2,31.6,7/13/2017
16,4,28.51,7/26/2017
16,1,9.99,9/10/2017
17,5,73.22,1/1/2017
18,1,14.96,1/4/2017
19,10,163.35,1/1/2017
19,1,11.77,6/10/2017
20,27,363.6,1/1/2017
20,19,289.41,1/18/2017
21,3,63.34,1/1/2017
21,1,11.77,1/13/2017
22,1,14.37,1/1/2017
23,2,24.74,1/1/2017
24,3,47.28,1/1/2017
24,1,10.49,1/20/2018
25,2,24.96,1/1/2017
25,1,13.9,7/18/2017
25,1,12.25,8/17/2017
25,1,12.99,10/24/2017
25,1,12.99,4/17/2018
25,1,10.49,5/25/2018
25,3,24.97,6/3/2018
25,2,24.98,6/8/2018
26,3,42.72,1/1/2017
26,3,59.97,1/26/2017
27,6,83.41,1/7/2017
27,4,52.46,1/12/2017
28,3,39.51,1/1/2017
28,2,25.74,1/27/2017
28,2,25.74,3/8/2017
29,3,46.72,1/1/2017
29,3,67.31,2/6/2017
29,3,41.1,3/9/2017
29,3,44.52,4/5/2017
29,1,13.97,4/20/2017
29,2,26.14,5/4/2017
29,1,32.45,5/30/2017
29,2,37.65,7/13/2017
29,2,26.74,7/13/2017
29,1,14.79,9/6/2017
29,3,35.97,11/2/2017
29,4,48.45,4/26/2018
30,1,14.37,1/1/2017
30,1,13.97,2/14/2017
31,4,59.06,1/1/2017
31,4,42.89,4/7/2018
31,3,38.06,4/9/2018
31,3,37.04,5/25/2018
32,3,49.97,1/1/2017
32,1,16.36,1/24/2017
32,1,11.88,3/11/2018
33,3,41.69,1/1/2017
33,2,29.92,1/21/2017
33,5,73.42,2/16/2017
33,2,40.74,5/2/2017
33,3,54.25,5/14/2017
33,1,14.96,6/1/2017
33,2,30.13,6/4/2017
33,2,35.69,8/29/2017
33,1,11.77,9/6/2017
33,3,45.47,10/2/2017
33,2,34.98,10/3/2017
33,3,54.97,10/5/2017
33,5,69.45,10/13/2017
33,3,48.97,10/19/2017
33,4,54.46,10/31/2017
33,5,66.45,11/6/2017
33,3,67.47,11/9/2017
33,1,13.99,11/10/2017
33,1,14.49,11/18/2017
33,4,55.96,11/23/2017
33,3,36.97,11/25/2017
33,3,36.97,1/13/2018
33,3,34.47,2/27/2018
33,4,35.35,3/5/2018
33,2,42.48,3/13/2018
34,2,23.14,1/1/2017
35,2,26.73,1/1/2017
35,1,15.49,9/27/2017
36,3,37.91,1/1/2017
36,1,11.77,2/3/2017
37,2,31.26,1/29/2017
37,2,29.13,3/6/2017
37,1,13.97,6/28/2017
37,1,14.37,8/16/2017
37,3,39.47,11/2/2017
37,2,27.48,5/13/2018
38,1,12.49,1/1/2017
39,3,33.33,1/1/2017
39,4,50.68,3/13/2017
39,2,28.93,5/14/2017
39,4,49.55,3/5/2018
39,2,58.96,3/11/2018
40,2,28.34,1/1/2017
40,1,13.97,3/8/2017
40,1,15.96,5/3/2017
40,1,14.96,8/30/2017
40,3,44.47,9/14/2017
40,1,13.99,9/14/2017
40,1,22.99,9/14/2017
40,2,25.98,10/25/2017
40,1,16.99,12/13/2017
40,4,54.96,12/14/2017
40,1,12.58,2/15/2018
40,1,2.99,2/15/2018
40,3,36.34,2/25/2018
40,1,14.42,3/8/2018
41,1,17.99,1/1/2017
42,3,26.55,1/1/2017
42,1,11.77,1/2/2017
43,2,29.33,1/1/2017
43,2,25.74,2/16/2017
43,1,10.77,3/1/2017
43,1,36.99,11/28/2017
43,1,14.49,5/24/2018
44,2,30.32,1/1/2017
44,1,14.37,1/4/2017
44,1,14.96,6/19/2017
45,1,14.37,1/1/2017
46,3,41.53,1/1/2017
46,4,60.11,1/25/2017
46,3,45.09,3/16/2017
46,4,58.07,8/9/2017
46,4,57.11,8/24/2017
46,2,26.98,10/2/2017
46,2,26.98,11/12/2017
47,3,37.91,1/1/2017
47,2,25.74,1/5/2017
47,3,44.97,1/26/2017
47,1,15.37,2/16/2017
47,2,30.92,2/23/2017
47,1,17.96,3/9/2017
47,1,4.79,3/9/2017
47,2,27.94,3/16/2017
47,1,13.97,4/6/2017
47,1,14.79,4/7/2017
47,1,19.97,4/19/2017
47,1,41.77,4/23/2017
47,1,19.99,6/15/2017
47,1,4.79,6/22/2017
47,1,9.99,8/9/2017
47,1,19.49,11/1/2017
47,1,12.99,2/25/2018
47,1,14.49,3/18/2018
47,2,22.98,3/22/2018
47,1,13.99,4/14/2018
47,1,12.99,6/6/2018
48,4,52.72,1/1/2017
48,4,73.5,1/26/2017
48,3,37.93,2/10/2017
48,1,12.49,3/23/2017
48,4,46.5,3/25/2017
48,2,29.92,6/9/2017
48,3,42.85,7/30/2017
48,1,15.36,8/15/2017
48,1,24.37,8/24/2017
48,1,25.49,10/14/2017
48,2,25.98,10/17/2017
48,1,20.99,10/20/2017
48,2,41.98,11/3/2017
48,3,42.47,11/11/2017
48,2,16.98,11/24/2017
48,1,9.49,12/4/2017
48,3,40.47,1/9/2018
48,3,51.47,3/22/2018
48,1,9.49,6/8/2018
48,2,29.48,6/13/2018
49,2,27.94,1/1/2017
50,1,6.79,1/1/2017
51,5,71.42,1/27/2017
51,8,111.93,7/7/2017
51,7,104.6,9/1/2017
51,5,53.95,11/29/2017
51,1,13.99,11/29/2017
51,1,11.49,12/1/2017
52,3,80.95,1/2/2017
52,2,23.14,1/6/2017
52,2,33.98,1/19/2017
52,2,27.74,1/22/2017
52,3,38.33,1/29/2017
52,4,59.84,5/18/2017
52,7,104.72,6/21/2017
52,2,76.98,5/8/2018
53,1,19.99,1/1/2017
53,1,14.37,8/19/2017
53,1,11.49,12/10/2017
53,1,11.88,1/27/2018
53,1,14.49,2/9/2018
53,1,13.99,5/4/2018
54,2,33.96,1/1/2017
55,5,66.09,1/1/2017
55,1,15.36,1/10/2017
56,2,27.73,1/1/2017
56,1,15.96,1/17/2017
56,2,21.54,6/1/2017
56,4,63.96,12/17/2017
57,4,57.86,1/1/2017
58,1,20.99,1/1/2017
59,1,13.99,1/1/2017
59,1,11.77,1/9/2017
59,1,10.77,1/25/2017
60,2,21.75,2/1/2017
61,11,155.65,1/1/2017
62,3,32.91,1/1/2017
62,1,17.96,1/17/2017
62,1,13.97,2/13/2017
62,2,24.54,3/8/2017
62,2,28.14,3/14/2017
62,2,14.55,5/14/2017
62,1,5.78,5/21/2017
62,1,15.36,8/27/2017
62,2,25.98,10/1/2017
62,1,15.99,10/16/2017
62,3,41.97,10/29/2017
63,3,44.97,1/1/2017
63,2,26.98,11/22/2017
63,2,24.48,4/18/2018
63,2,24.48,5/21/2018
64,1,11.77,1/3/2017
64,2,13.98,2/12/2017
64,1,11.77,5/12/2017
64,1,14.96,5/13/2017
64,1,15.36,7/22/2017
64,3,41.47,9/20/2017
64,3,53.47,11/4/2017
64,8,59.92,11/28/2017
64,3,41.97,12/30/2017
64,1,7.68,3/3/2018
64,2,35.48,4/11/2018
64,2,21.98,4/23/2018
64,3,37.56,6/25/2018
65,1,18.77,1/1/2017
65,2,35.98,2/16/2018
65,1,13.99,3/22/2018
66,1,39.99,1/1/2017
67,2,29.73,1/1/2017
67,1,29.99,1/8/2017
67,1,11.77,1/17/2017
68,2,40.36,1/1/2017
69,6,105.31,1/1/2017
69,8,111.77,1/4/2017
70,5,72.23,1/1/2017
71,1,13.97,1/1/2017
72,1,11.99,1/1/2017
73,1,13.97,1/1/2017
73,2,24.14,2/28/2017
73,4,56.46,3/16/2017
74,1,41.99,1/1/2017
75,5,69.81,1/1/2017
76,1,9.99,1/1/2017
77,1,12.97,1/1/2017
78,3,41.52,1/13/2017
78,4,53.74,4/23/2018
79,6,77.44,1/1/2017
80,4,43.46,1/1/2017
81,2,74.76,1/1/2017
81,2,56.36,1/10/2017
81,3,35.31,1/17/2017
81,2,27.76,2/2/2017
81,3,35.31,2/20/2017
81,1,14.99,3/5/2017
81,1,13.77,4/5/2017
81,1,14.96,5/24/2017
81,5,82.79,6/5/2017
81,1,7.78,6/9/2017
81,1,14.96,6/19/2017
81,1,11.97,7/22/2017
81,2,26.98,9/15/2017
81,1,12.99,9/27/2017
82,3,38.5,1/1/2017
82,3,48.5,4/19/2017
82,2,30.98,9/27/2017
82,3,43.97,11/23/2017
82,3,40.56,2/27/2018
82,3,40.29,4/10/2018
83,1,13,1/1/2017
83,3,47.69,1/26/2017
83,3,19.5,7/23/2017
83,1,21.49,4/18/2018
84,1,13.97,1/1/2017
85,3,26.31,1/3/2017
86,2,23.94,1/1/2017
87,7,103.37,1/1/2017
87,2,29.92,5/31/2017
87,3,45.28,7/31/2017
87,2,27.98,10/8/2017
88,1,14.99,2/24/2017
88,2,19.98,10/22/2017
89,3,47.08,1/1/2017
89,2,30.72,1/11/2017
89,2,30.72,1/29/2017
89,2,27.13,3/27/2017
89,1,20.97,4/11/2017
89,1,15.36,5/27/2017
89,4,60.67,7/30/2017
89,2,46.42,8/23/2017
89,2,27.48,10/17/2017
89,2,18.98,10/30/2017
89,3,39.97,12/5/2017
89,2,29.48,12/22/2017
89,3,31.97,12/26/2017
89,1,19.49,12/29/2017
89,2,34.98,1/23/2018
89,2,26.98,2/11/2018
89,1,22.49,2/27/2018
89,1,40.99,6/10/2018
90,1,12.9,1/1/2017
90,1,11.77,1/8/2017
91,2,32.54,1/1/2017
92,2,35.98,1/1/2017
92,1,17.36,4/16/2017
93,9,122.09,1/1/2017
93,5,97.24,1/3/2017
94,4,44.1,1/2/2017
95,3,53.53,1/3/2017
95,3,47.11,1/14/2017
95,5,91.26,1/24/2017
95,2,37.98,2/3/2017
95,1,27.77,2/8/2017
95,2,25.13,2/10/2017
95,1,19.77,2/17/2017
95,4,67.46,3/4/2017
95,2,42.73,3/25/2017
95,1,14.37,4/14/2017
95,2,29.33,4/27/2017
95,2,26.56,5/11/2017
95,2,30.32,5/11/2017
95,2,29.33,5/26/2017
95,1,11.77,6/10/2017
95,1,28.18,6/30/2017
95,4,66.46,8/25/2017
95,4,45.96,9/21/2017
95,6,90.94,12/9/2017
95,2,82.98,12/19/2017
95,3,42.47,1/10/2018
95,2,24.98,2/2/2018
95,8,109.24,2/8/2018
95,5,105.45,2/24/2018
95,6,82.42,3/16/2018
95,7,106.93,4/28/2018
95,3,59.97,5/7/2018
95,4,65.44,6/10/2018
95,4,49.43,6/24/2018
96,4,57.67,1/1/2017
96,4,61.91,2/9/2017
96,3,29.5,2/14/2017
96,1,96.99,2/22/2017
96,6,75.22,3/15/2017
96,3,49.94,4/8/2017
96,4,60.48,4/17/2017
96,1,12.97,6/24/2017
96,2,23.74,7/9/2017
96,7,102.21,8/3/2017
96,4,114.46,10/30/2017
96,5,234.45,11/18/2017
96,1,248.49,12/7/2017
96,4,68.46,1/2/2018
96,4,45.46,1/17/2018
96,2,28.37,2/24/2018
96,3,30.86,3/9/2018
96,4,54.85,5/7/2018
96,4,49.96,6/27/2018
97,6,91.57,1/1/2017
97,6,80.94,10/22/2017
97,4,128.87,2/8/2018
97,2,23.37,3/28/2018
98,2,46.14,1/1/2017
98,2,30.32,5/23/2017
99,2,25.94,1/1/2017
99,2,28.34,1/19/2017
99,2,28.93,4/24/2017
99,4,52.1,7/26/2017
99,2,24.98,10/11/2017
99,3,40.97,11/13/2017
99,1,65.99,12/16/2017
100,1,13.77,1/1/2017
100,1,12.49,12/11/2017
100,2,28.98,4/20/2018
101,2,23.54,1/18/2017
102,1,14.37,1/1/2017
102,1,25.99,2/10/2017
102,1,11.49,11/28/2017
102,4,105.62,3/1/2018
103,4,51.08,2/17/2017
103,2,29.75,4/6/2017
103,3,29.66,4/17/2018
104,1,14.96,1/1/2017
105,3,35.31,1/1/2017
106,2,31.52,1/1/2017
106,2,29.92,1/19/2017
106,2,30.72,6/26/2017
106,2,27.98,11/4/2017
106,1,36.99,12/30/2017
106,3,44.97,1/31/2018
107,1,21.99,1/1/2017
108,1,17.96,1/1/2017
109,5,71.89,1/12/2017
109,7,132.57,2/2/2017
110,2,27.94,1/1/2017
111,1,35.99,1/1/2017
111,1,32.99,1/11/2017
111,4,77.96,3/15/2017
111,3,59.3,4/16/2017
111,2,134.98,4/24/2017
111,1,91.92,6/23/2017
111,3,47.08,7/22/2017
111,2,71.96,7/26/2017
111,3,78.47,10/25/2017
111,3,83.47,12/6/2017
111,4,84.46,1/18/2018
111,4,123.96,2/15/2018
111,2,32.98,2/21/2018
111,2,23.06,2/26/2018
111,1,72.99,5/10/2018
111,3,55.47,6/20/2018
112,1,11.77,1/1/2017
112,1,11.77,2/5/2017
113,3,32.91,1/1/2017
113,1,15.27,3/4/2018
113,1,11.49,3/7/2018
114,1,16.36,1/1/2017
114,2,28.13,5/1/2017
114,1,22.97,9/8/2017
114,1,28.49,2/10/2018
114,2,28.98,2/11/2018
115,1,13.97,1/1/2017
116,1,12.77,1/1/2017
117,2,18.74,1/1/2017
117,2,24.74,8/31/2017
117,1,15.49,3/19/2018
118,1,15.36,1/1/2017
118,4,58.49,6/24/2017
119,3,41.69,1/1/2017
120,1,22.97,1/1/2017
120,1,14.96,2/22/2017
120,1,11.77,3/30/2017
120,1,42.32,5/17/2017
120,1,11.49,12/18/2017
121,1,12.49,1/1/2017
122,2,27.74,1/1/2017
123,1,31.99,1/1/2017
124,2,28.93,1/1/2017
124,2,28.48,9/13/2017
124,2,26.98,10/16/2017
124,2,25.98,11/2/2017
124,2,27.98,12/12/2017
125,3,37.47,1/1/2017
125,1,13.72,6/22/2017
125,1,12.99,10/17/2017
125,1,6.49,11/21/2017
125,1,11.49,2/9/2018
125,2,26.48,6/8/2018
126,1,9.77,1/3/2017
126,2,292.98,12/2/2017
127,3,39.71,1/1/2017
128,3,20.37,1/1/2017
128,1,12.49,1/9/2017
128,2,22.75,2/7/2017
128,1,12.25,8/3/2017
129,1,12.49,1/1/2017
130,1,14.37,1/1/2017
130,1,5.99,1/25/2017
130,3,42.89,2/8/2017
130,1,10.77,6/1/2017
130,1,5.99,7/1/2017
130,1,14.96,8/13/2017
130,1,12.99,11/8/2017
130,1,12.99,4/29/2018
131,2,30.32,1/1/2017
132,3,53.69,1/1/2017
132,5,54.65,2/27/2017
132,2,27.13,4/1/2017
132,4,57.45,6/16/2017
